Seller Name,RapNet Account ID,Name Code,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,Fluorescence Intensity,Lab,Certificate Number,Stock Number,Price Per Carat,Price Percentage,Total Price,Cash Price Per Carat,Cash Price Percentage,Total Cash Price,State,Country,Certificate URL,Image URL,Diamond ID
SUPERGEMS NV,21343,Supergem,Round,1.740,K,VVS1,Very Good,Excellent,Excellent,Slight,HRD,13/031/343/031,170004607,,,,3596.0000,-0.4200,6257.0400,,Belgium,http://www.supergemsgroup.com/certificates/170004607.jpg,http://www.supergemsgroup.com/diamondphoto/170004607-P.jpg,48933026
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.920,M,SI1,Very Good,Very Good,Very Good,None,IGI,F6F39329,557484,1404.0000,-0.4800,1291.6800,,,,,Belgium,,,53368809
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.000,D,VS1,Very Good,Excellent,Excellent,Slight,HRD,14011828001,577257,6655.0000,-0.4500,6655.0000,,,,,Belgium,,,53368827
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.000,D,VS1,Very Good,Very Good,Very Good,None,GIA,2157415295,545852,7865.0000,-0.3500,7865.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/7/1/2157415295.pdf,,53368828
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.000,E,SI2,Excellent,Very Good,Excellent,Slight,IGI,F6B90249,5111071,3432.0000,-0.4800,3432.0000,,,,,Belgium,,,53368843
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,E,VS1,Very Good,Excellent,Excellent,Faint,GIA,5163752977,571268,6634.0000,-0.3800,6700.3400,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2014/1/21/5163752977.pdf,,53368940
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,F,SI2,Very Good,Excellent,Excellent,Medium,GIA,1175051069,578689,3591.0000,-0.4300,3626.9100,,,,,Belgium,http://www.feedcenter.net/files/258/certs/1175051069.Pdf,,53368966
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,J,VVS2,Very Good,Very Good,Excellent,None,HRD,14009657032,578649,3120.0000,-0.4800,3151.2000,,,,,Belgium,,,53369033
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.010,K,SI1,Excellent,Excellent,Excellent,Faint,GIA,2167538154,565563,2666.0000,-0.3800,2692.6600,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/1/8/2167538154.pdf,,53369042
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.020,I,VVS1,Very Good,Excellent,Very Good,Strong,HRD,12019459001,516667,3626.0000,-0.5100,3698.5200,,,,,Belgium,,,53369092
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.030,K,SI1,Excellent,Excellent,Excellent,None,HRD,14009657041,577586,2580.0000,-0.4000,2657.4000,,,,,Belgium,,,53369110
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.080,H,IF,Excellent,Excellent,Excellent,Faint,GIA,2167778365,568705,5796.0000,-0.3700,6259.6800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/3/3/2167778365.pdf,,53369154
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.080,J,IF,Excellent,Excellent,Excellent,Slight,IGI,F5H34767,433686,3264.0000,-0.4900,3525.1200,,,,,Belgium,,,53369157
Rosediam Bvba,74519,ROSEDIAM,Round,1.070,F,SI3,Excellent,Excellent,Excellent,None,NONE,,R35361,,,,3510.0000,-0.3500,3755.7000,,Belgium,,,50815375
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.120,J,SI1,Excellent,Excellent,Excellent,None,GIA,5163062007,562361,3162.0000,-0.3800,3541.4400,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2013/10/7/5163062007.pdf,,53369183
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.220,I,IF,Excellent,Excellent,Excellent,Slight,IGI,F6C54780,499188,3666.0000,-0.5300,4472.5200,,,,,Belgium,,,53369276
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.230,I,IF,Excellent,Excellent,Excellent,Slight,IGI,F6F84206,564486,3666.0000,-0.5300,4509.1800,,,,,Belgium,,,53369282
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.230,J,SI2,Excellent,Excellent,Excellent,Faint,GIA,2147641169,536987,2976.0000,-0.3800,3660.4800,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/2/13/2147641169.pdf,,53369287
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.240,D,IF,Excellent,Excellent,Excellent,Medium,GIA,2127444257,474954,11880.0000,-0.4500,14731.2000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2011/10/10/2127444257.pdf,,53369288
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.250,I,VVS1,Excellent,Excellent,Excellent,Very Slight,IGI,F6F84207,562716,3700.0000,-0.5000,4625.0000,,,,,Belgium,,,53369302
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.250,J,VVS2,Excellent,Excellent,Excellent,None,GIA,2167752520,566913,4080.0000,-0.3200,5100.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2014/1/21/2167752520.pdf,,53369303
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.320,J,IF,Excellent,Excellent,Excellent,Medium,HRD,13024816010,559842,3648.0000,-0.4300,4815.3600,,,,,Belgium,,,53369330
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.330,E,VS1,Excellent,Excellent,Excellent,Strong,GIA,2157927783,562850,6634.0000,-0.3800,8823.2200,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/10/1/2157927783.pdf,,53369333
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.500,J,IF,Very Good,Excellent,Very Good,Medium,GIA,2127153334,447000,4108.0000,-0.4800,6162.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/gia/Certificates/2011/6/23/2127153334.pdf,,53369392
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,E,VS2,Very Good,Very Good,Excellent,Strong,GIA,2157423474,552277,7205.0000,-0.4500,10879.5500,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2013/7/2/2157423474.pdf,,53369404
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,IF,Very Good,Excellent,Excellent,None,HRD,13028796016,563695,4230.0000,-0.5500,6387.3000,,,,,Belgium,,,53369428
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,IF,Very Good,Excellent,Very Good,Slight,IGI,F6E52930,535962,4418.0000,-0.5300,6671.1800,,,,,Belgium,,,53369429
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,VVS2,Excellent,Excellent,Excellent,Very Slight,IGI,F6D83305,523575,4250.0000,-0.5000,6417.5000,,,,,Belgium,,,53369444
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.510,I,VS2,Very Good,Very Good,Very Good,Slight,IGI,F6F18975,552023,4266.0000,-0.4600,6441.6600,,,,,Belgium,,,53369448
